Trade_Date,Exchange,Sett Type,Scrip_Name,Order_Type,Qty,Mkt_Price,Mkt Value,Squp/Del,Brok_Amt,Net Amt,Product,Aggregated_Taxes
05-Dec-22,NSE,N,STEEL AUTHORITY OF INDIA,S,500,88.1,44050.0,D,330.38,43614.27,Cash,105.35000000000001
06-Dec-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,200,369.25,73850.0,D,553.88,73119.47,Cash,176.64999999999998
09-Dec-22,NSE,N,BIRLASOFT LIMITED,B,200,309.7,61940.0,D,464.55,-62562.0,Cash,157.45
12-Dec-22,NSE,N,BIRLASOFT LIMITED,B,29,306.35,8884.15,D,66.63,-8973.37,Cash,22.590000000000003
12-Dec-22,NSE,N,BIRLASOFT LIMITED,B,35,306.35,10722.25,D,80.42,-10829.92,Cash,27.25
12-Dec-22,NSE,N,BIRLASOFT LIMITED,B,59,306.35,18074.65,D,135.56,-18256.15,Cash,45.94
12-Dec-22,NSE,N,BIRLASOFT LIMITED,B,77,306.35,23588.95,D,176.92,-23825.81,Cash,59.940000000000005
12-Dec-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,16,346.35,5541.6,D,41.56,-5597.25,Cash,14.09
12-Dec-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,10,346.4,3464.0,D,25.98,-3498.79,Cash,8.81
12-Dec-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,1,346.45,346.45,D,2.6,-349.92,Cash,0.87
12-Dec-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,2,346.45,692.9,D,5.2,-699.85,Cash,1.7499999999999998
